Judge	Type	Case	Avg Word Len	Latin Terms	Second Person	Decisive Terms	Linguistic Diversity	Avg Sentence Len	Beg w/ Conjunction Sentences	Avg Polarity	Avg Subjectivity
scalia	dissent	Michigan	5.28551751279024	0.00747737111373475	0.0	0.0027548209366391185	0.27233372687918145	22.347058823529412	0.061764705882352944	0.026821777006257055	0.20682743343549545
scalia	dissent	Adoptive	5.090874524714829	0.007351077313054499	0.0	0.0029150823827629913	0.20253485424588086	25.681603773584907	0.04716981132075472	0.04936589672556656	0.23640679588611702
scalia	dissent	FERC	5.140563821456539	0.010571652310101801	0.0015661707126076742	0.001957713390759593	0.30892717306186374	20.307262569832403	0.07262569832402235	0.052729570243536736	0.24801852657997925
scalia	dissent	Reynolds	5.26046986721144	0.005107252298263534	0.0	0.006128702757916241	0.37589376915219613	31.51219512195122	0.07317073170731707	0.08835035899060291	0.35561859888079395
scalia	dissent	Henderson	4.837726805888394	0.004108182129407737	0.0	0.005819924683327628	0.26258130777131117	26.753521126760564	0.04225352112676056	0.012874761193423163	0.2824312678714087
scalia	dissent	Vartelas	5.250332299512627	0.004873726185201595	0.0	0.006202924235711121	0.3123615418697386	26.07377049180328	0.11475409836065574	0.009600749887635129	0.26767520541086115
scalia	concurrence	Decker	4.997461123452872	0.002221516978736909	0.0	0.0050777530942557915	0.29419231989844496	21.54950495049505	0.07920792079207921	0.0382873609018411	0.24475897704239286
scalia	concurrence	HomeConcrete	5.126954346466541	0.005628517823639775	0.0	0.006253908692933083	0.342714196372733	25.878048780487806	0.0975609756097561	0.03083471914264597	0.20611415769190158
scalia	concurrence	Air	4.86340206185567	0.005154639175257732	0.0	0.004510309278350515	0.3595360824742268	30.014285714285716	0.02857142857142857	0.004067241290455571	0.2776453596951045
scalia	concurrence	Bond	5.017020382433285	0.003782307207396512	0.0	0.0033620508510191216	0.2712754780416054	22.812925170068027	0.07482993197278912	-0.0001734471336744055	0.23887108199898077
scalia	concurrence	Castleman	5.122304701307883	0.004595263343937788	0.0	0.0017674089784376105	0.2926829268292683	19.42436974789916	0.025210084033613446	-0.003671663741254075	0.16795746031096423
scalia	concurrence	Lawson	4.9408	0.0032	0.0	0.0016	0.488	22.914285714285715	0.02857142857142857	0.05931632653061224	0.23489909297052156
scalia	concurrence	Perez	5.171280276816609	0.0025951557093425604	0.0	0.005190311418685121	0.35813148788927335	21.183098591549296	0.11267605633802817	0.07377906326849991	0.28106928608689175
scalia	concurrence	CTS	5.222222222222222	0.0	0.0	0.0	0.5947712418300654	24.2	0.0	0.1	0.32666666666666666
scalia	concurrence	Loughrin	4.527111111111111	0.006222222222222222	0.0	0.008888888888888889	0.3511111111111111	22.78688524590164	0.16393442622950818	-0.012773224043715847	0.19549700754618787
